Customer Name,Part Description,Work Order #,Order Quantity,Pieces Scrapped,Total Scrap Weight (lbs),Scrap%,Sellable,Heats,Week Ending,Piece Weight (lbs),Dross Rate,Bent Rate,Outside Process Scrap Rate,Failed Zyglo Rate,Gouged Rate,Shift Rate,Missrun Rate,Core Rate,Cut Into Rate,Dirty Pattern Rate,Crush Rate,Zyglo Rate,Shrink Rate,Short Pour Rate,Runout Rate,Shrink Porosity Rate,Gas Porosity Rate,Over Grind Rate,Sand Rate,Tear Up Rate
"Acme Industries, Inc",2190-1287--Cast Sogav 105,W01666,600,3,12,0.50,47800,239,01/16/23,4,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000
"Acme Industries, Inc","2190-1641--TecJet 110, Inlet",W01182,150,6,65,4.00,47800,239,01/16/23,11,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000
"Air Squared Manufacturing, Inc",180216-3C--Compressor Housing,W00348,420,9,77,2.14,47800,239,01/16/23,9,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0000
Emerson Professional Tools Mfg,52063143--Capstan MTS (G3),W01537,100,3,46,3.00,47800,239,01/16/23,15,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000
LSP Industries,CAS-007--End Plate,W01317,126,9,11,7.14,47800,239,01/16/23,1,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0476,0.0000
Pioneer Products,366-5437--Cover,W01395,130,2,30,1.54,47800,239,01/16/23,15,0.0000,0.02,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Woodward, Inc",2526-707--Servo Valve,W01639,25,6,109,24.00,47800,239,01/16/23,18,0.0000,0.00,0.0000,0.0000,0.00,0.12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1200,0.0000
"Summit Machine Works, Inc",55000003---Casting,W00258,402,5,110,1.24,37800,189,02/06/23,22,0.0050,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0075,0.0000
"Woodward, Inc",2190-1574---Cast Mounting Plate,W01881-01,100,6,20,6.00,37800,189,02/06/23,3,0.0000,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0100
"Woodward, Inc",2389-063---Casting,W01336,126,3,13,2.38,37800,189,02/06/23,4,0.0079,0.00,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0159,0.0000
Emerson Professional Tools Mfq,52086802--Capstan,W01728,100,3,8,3.00,33000,165,02/10/23,3,0.0000,0.00,0.0000,0.0000,0.00,0.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
